client_id,Sex,birth_date,district_id
1,MALE,1998-02-13,18
2,FEMALE,1968-02-04,1
3,MALE,1967-12-09,1
4,MALE,1979-12-01,5
5,MALE,1987-09-03,5
6,FEMALE,1942-09-22,12
7,MALE,1952-01-25,15
8,MALE,1965-04-21,51
9,FEMALE,1958-10-16,60
10,MALE,1966-05-01,57
11,FEMALE,1977-10-22,57
12,FEMALE,2004-02-20,40
13,MALE,2001-07-29,54
14,FEMALE,1969-08-22,76
15,FEMALE,1945-10-28,21
16,MALE,1942-02-25,21
17,MALE,1957-10-13,76
18,MALE,1958-06-05,76
19,FEMALE,1965-12-28,47
20,FEMALE,2002-01-04,46
21,MALE,1979-12-29,12
22,MALE,1996-12-11,1
23,MALE,1996-05-29,1
24,MALE,1966-09-29,43
25,MALE,1966-06-23,21
26,FEMALE,1996-06-20,74
27,FEMALE,1993-05-26,54
28,MALE,1968-09-29,1
29,MALE,1978-11-11,30
30,MALE,1984-12-09,74
31,MALE,1985-02-09,68
32,FEMALE,2003-07-28,52
33,FEMALE,1976-02-04,73
36,MALE,2005-09-17,7
37,FEMALE,1993-08-10,7
38,MALE,2000-09-23,36
39,MALE,1991-01-25,68
40,FEMALE,1984-03-22,5
41,MALE,1991-08-27,22
42,MALE,1958-08-17,68
43,FEMALE,1943-10-28,75
44,MALE,2004-03-11,38
45,FEMALE,1975-08-26,20
46,FEMALE,1967-03-30,19
47,FEMALE,1957-07-14,76
48,MALE,1963-02-09,16
49,MALE,1986-07-11,72
50,FEMALE,2005-09-30,39
51,FEMALE,2007-02-02,36
52,FEMALE,1947-12-12,32
53,MALE,2000-05-05,64
55,FEMALE,1975-11-18,45
56,MALE,1983-03-31,21
57,MALE,1989-02-17,21
58,MALE,1954-06-29,1
59,FEMALE,1980-02-18,1
60,MALE,2003-02-19,67
61,FEMALE,1975-10-06,16
62,FEMALE,1955-12-08,77
63,FEMALE,1982-06-04,4
64,FEMALE,1949-04-22,20
65,MALE,1970-07-27,50
66,FEMALE,1979-01-10,1
67,MALE,1960-01-11,29
68,FEMALE,1969-12-14,43
70,FEMALE,1948-12-22,70
71,FEMALE,1954-04-06,70
72,MALE,1946-01-13,47
73,FEMALE,1947-02-20,22
74,FEMALE,1952-09-26,22
75,MALE,2004-11-19,64
76,MALE,1994-12-01,36
77,FEMALE,1983-04-18,1
78,MALE,1971-08-13,16
79,FEMALE,1996-05-10,37
80,MALE,2006-04-25,64
81,MALE,1999-04-29,8
82,MALE,2007-02-25,8
83,MALE,2006-02-25,1
84,MALE,2002-05-05,1
85,MALE,1984-08-27,1
86,FEMALE,1996-09-20,1
87,MALE,1974-01-17,72
89,MALE,1978-07-05,1
90,MALE,1998-08-17,52
91,MALE,1963-08-07,63
92,FEMALE,1993-08-12,74
93,FEMALE,1948-02-16,3
94,MALE,1970-09-09,43
95,MALE,1979-10-03,43
96,MALE,1995-03-01,74
97,FEMALE,1988-11-28,26
98,FEMALE,2000-07-04,33
99,FEMALE,1996-01-26,33
100,MALE,1969-10-11,44
101,MALE,1966-01-23,68
102,FEMALE,1985-11-10,74
103,MALE,1978-07-11,74
105,FEMALE,2003-05-26,31
106,FEMALE,1996-03-01,68
107,MALE,1995-06-23,1
108,MALE,1986-09-13,17
110,MALE,1994-06-13,2
112,MALE,1958-01-25,1
113,MALE,1967-10-15,1
114,FEMALE,1996-08-24,74
115,FEMALE,1992-12-24,74
116,FEMALE,1965-01-28,74
117,FEMALE,1963-11-20,74
118,MALE,1945-07-19,55
119,FEMALE,1949-04-28,55
120,FEMALE,1999-05-10,1
121,MALE,2005-12-29,41
122,MALE,1991-01-13,35
123,FEMALE,1992-02-12,11
124,MALE,1990-09-21,44
125,MALE,1959-10-31,37
126,MALE,1956-11-27,37
127,MALE,1978-02-27,21
128,FEMALE,2000-06-04,63
129,MALE,1974-07-31,64
130,FEMALE,1965-02-14,53
131,MALE,2004-03-31,53
132,FEMALE,1976-01-26,36
134,FEMALE,1955-01-18,6
135,FEMALE,1965-11-10,6
136,FEMALE,1948-03-26,55
137,FEMALE,1946-09-14,60
138,MALE,1999-12-21,54
139,MALE,1986-09-25,8
140,FEMALE,1984-06-06,8
141,FEMALE,1948-11-02,31
142,MALE,1960-06-21,68
143,MALE,2001-07-09,27
144,FEMALE,1981-12-06,65
145,FEMALE,2001-02-14,55
146,MALE,1989-02-19,31
147,FEMALE,1961-01-02,21
148,MALE,1963-12-25,21
149,MALE,1971-06-27,55
150,MALE,2007-11-27,2
151,MALE,1998-11-23,51
152,FEMALE,1973-02-02,29
153,FEMALE,2008-04-12,13
